Country Name,Indicator,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United States,CO2 emissions (kt),4328904.501,4356770.034,4564952.958,4770194.948,4598487.673,4406329.539,4613100.668,4742292.745,4890861.25,4901796.244,4723209.677,4535800.308,4306748.487,4341878.347,4475192.132,4492555.377,4495463.308,4688373.177,4892526.068,4955081.421,4823403.118,4820847.219,4909533.614,5028674.444,5094354.081,5132919.92,5252112.088,5368715.354,5401010.623,5504669.379,5693684.894,5595794.329,5641309.133,5675701.926,5756075.232,5789727.291,5697285.888,5789030.561,5614110.994,5263505.457,5395532.125,5289680.503,5119436.361,5159160.972,5254279.285,5254279.285,5254279.285
South Africa,CO2 emissions (kt),149763.947,168568.323,171725.61,173533.441,176734.732,185201.835,193115.221,199950.509,202099.371,218908.899,228454.1,257368.395,280749.187,292230.564,315948.72,324214.138,330855.075,329025.242,343055.184,341108.007,313304.813,326410.671,301687.757,321049.517,339168.164,362259.263,364400.791,386131.433,377726.669,375236.776,378665.421,372042.819,356637.752,404459.099,450186.589,416915.898,447894.714,466578.079,496772.157,503112.4,474099.096,470582.443,468770.945,466376.394,489771.854,489771.854,489771.854
Argentina,Forest area (sq. km),347930,347930,347930,347930,347930,347930,347930,347930,347930,347930,347930,347930,347930,347930,347930,347930,347930,347930,347930,347930,347930,344996.9922,342063.9844,339131.0156,336198.0078,333265,330331.9922,327399.0039,324465.9961,321533.0078,318600,315251.9922,311904.0039,308555.9961,305208.0078,301860,298680,295500,292320,289140,285960,282991.9922,280024.0039,277055.9961,274088.0078,271120,268151.9922
Australia,Forest area (sq. km),1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285410,1285710,1286010,1286310,1286610,1286910,1287210,1287510,1287810,1288110,1288410,1286010,1283610,1281210,1278810,1276410,1267550,1258690,1249830,1240970,1232110,1235190,1238270,1241350,1244430,1247510,1250590
Brazil,Forest area (sq. km),5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5467050,5441618.75,5416188.125,5390756.875,5365326.25,5339895,5314463.75,5289033.125,5263601.875,5238170.938,5212740,5183660,5154580,5125500,5096420,5067340,5050788.125,5034235.938,5017684.063,5001131.875,4984580,4974740,4964900,4955060,4945220,4935380,4925540
Canada,Forest area (sq. km),3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482730,3482259.063,3481788.125,3481316.875,3480845.938,3480375,3479904.063,3479433.125,3478961.875,3478490.938,3478020,3477568.125,3477115.938,3476664.063,3476211.875,3475760,3475211.875,3474664.063,3474115.938,3473568.125,3473020,3472554.063,3472088.125,3471621.875,3471155.938,3470690,3470224.063
China,Forest area (sq. km),1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1571405.938,1591265.938,1611125.781,1630985.625,1650845.625,1670705.469,1690565.469,1710425.313,1730285.156,1750145.156,1770005,1802091.875,1834178.594,1866265.469,1898352.188,1930439.063,1945571.875,1960704.531,1975837.344,1990970.156,2006102.969,2021525,2036947.031,2052369.063,2067790.938,2083212.969,2098635
Germany,Forest area (sq. km),113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113054.0039,113107.998,113162.002,113215.9961,113270,113324.0039,113377.998,113432.002,113485.9961,113540,113600,113660,113720,113780,113840,113890,113940,113990,114040,114090,114110,114130,114150,114170,114190,114210
European Union,Forest area (sq. km),1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1479241.502,1485786.801,1492851.89,1499678.218,1506490.297,1513302.597,1520114.699,1526926.986,1533739.115,1540551.388,1547363.495,1551368.307,1555372.991,1559377.702,1563382.505,1567387.299,1572379.885,1577372.405,1582365.207,1587357.705,1592350.192,1596042.604,1599735.105,1603427.497,1607120,1610812.392,1614504.803
France,Forest area (sq. km),144360,144360,144360,144360,144360,144360,144360,144360,144360,144360,144360,144360,144360,144360,144360,144360,144360,144360,144360,144360,144360,145212.998,146065.9961,146919.0039,147772.002,148625,149477.998,150330.9961,151184.0039,152037.002,152890,154034.0039,155177.998,156322.002,157465.9961,158610,159735.9961,160862.002,161987.998,163114.0039,164240,165370,166500,167630,168760,169890,171020
United Kingdom,Forest area (sq. km),27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27780,27956.00098,28131.99951,28308.00049,28483.99902,28660,28836.00098,29011.99951,29188.00049,29363.99902,29540,29673.99902,29808.00049,29941.99951,30076.00098,30210,30286.00098,30361.99951,30438.00049,30513.99902,30590,30760,30930,31100,31270,31440,31610
Indonesia,Forest area (sq. km),1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1185450,1166313.984,1147177.969,1128042.031,1108906.016,1089770,1070633.984,1051497.969,1032362.031,1013226.016,994090,990986.0156,987882.0313,984777.9688,981673.9844,978570,971720,964870,958020,951170,944320,937476.0156,930632.0313,923787.9688,916943.9844,910100,903256.0156
India,Forest area (sq. km),639390,639390,639390,639390,639390,639390,639390,639390,639390,639390,639390,639390,639390,639390,639390,639390,639390,639390,639390,639390,639390,640841.0156,642291.9922,643743.0078,645193.9844,646645,648096.0156,649546.9922,650998.0078,652448.9844,653900,658537.9688,663176.0156,667813.9844,672452.0313,677090,681252.0313,685413.9844,689576.0156,693737.9688,697900,699683.9844,701467.9688,703252.0313,705036.0156,706820,708603.9844
Italy,Forest area (sq. km),75900,75900,75900,75900,75900,75900,75900,75900,75900,75900,75900,75900,75900,75900,75900,75900,75900,75900,75900,75900,75900,76678.99902,77457.99805,78237.00195,79016.00098,79795,80573.99902,81352.99805,82132.00195,82910.99609,83690,84470,85250,86030,86810,87590,88127.99805,88665.99609,89204.00391,89742.00195,90280,90817.99805,91355.99609,91894.00391,92432.00195,92970,93507.99805
