country,country_code,category,ind_name,ind_code,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2016,2018
India,IND,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,746498.11,746498.11,746498.11,827298.045,929414.77,1140356.79,1387371.82,1651503.01,1885189,2117460.59,2771456.756,2694590.174,2934473.789,3174357.404
Italy,ITA,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,388249.306,388249.306,388249.306,425696.331,477727.329,462915.588,508764.943,518470.761,547349.86,564114.951,489460.1327,571547.0837,588462.0737,605377.0637
Japan,JPN,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,941132.584,941132.584,941132.584,1067710.651,1136091.34,1112813.49,1304676.03,1421640.91,1406194.588,1439905.158,1350427.913,1542521.303,1602567.949,1662614.595
South Korea,KOR,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,88641.352,88641.352,88641.352,120964.237,175229.771,215092.052,300501.326,453629.667,512819.936,561372.5433,628838.7211,705987.6512,779249.8569,852512.0625
Mexico,MEX,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,210547.8556,210547.8556,210547.8556,280289.646,387137.41,443037.14,494151.02,515961.212,576489.52,641308.82,643375.4336,737977.2391,792410.5078,846843.7766
Russian Federation,RUS,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,2240872.97,2240872.97,2240872.97,2692997.65,3028837.5,3147716.56,3593581.92,2645144.69,2771222,2527172.17,2603289.63,2800180.621,2799087.076,2797993.532
Saudi Arabia,SAU,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,78220.3308,78220.3308,78220.3308,140263.476,260541.6713,260541.6713,260541.6713,262037.697,310713.5,310713.5,310713.5,349964.8416,383205.2003,416445.559
Turkey,TUR,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,94428.85,94428.85,94428.85,126182.61,146951.184,175454.826,224459.0446,261203.422,316464.841,347595.11,422721.8742,435233.4324,475269.8575,515306.2827
United States,USA,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,5400503.5,5400503.5,5400503.5,5539255.42,5896082.8,5776897.6,6136093.5,6365296.6,6969123.8,7182808.4,6713348.969,7296311.328,7511586.691,7726862.055
South Africa,ZAF,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,253769.713,253769.713,253769.713,294054.847,307875.565,307875.565,349202.002,371350.205,420482.753,498312.886,498312.886,490581.1426,520872.1112,551163.0798
Argentina,ARG,Population,Urban population,SP.URB.TOTL,15449950,15449950,18836987,20943260,23122595,25695319,28373007,30705908,32867357,35015695,37055902,39467043,39940546,40410674
Australia,AUS,Population,Urban population,SP.URB.TOTL,8589875,8589875,10505755,11780153,12569300,13486012,14579227,15342767,16133530,17250330,18767085,20410546,20755798,21133982
Brazil,BRA,Population,Urban population,SP.URB.TOTL,35016991,35016991,53176875,65175659,79015954,94505178,110146163,125743641,141915773,154176524,165055094,175375436,177386818,179379301
Canada,CAN,Population,Urban population,SP.URB.TOTL,12729040,12729040,16132459,17498862,18549289,19731489,21206427,22760570,24388404,25834340,27522537,29011826,29357013,29725508
China,CHN,Population,Urban population,SP.URB.TOTL,110327936,110327936,142386810,159452730,189947471,240414890,300165618,373035157,452999147,554367818,658498663,761027100,782199374,803554542
German,DEU,Population,Urban population,SP.URB.TOTL,52609561,52609561,56496072,57085531,57028530,56485448,58079842,60378049,61629857,62660267,62940432,63062064,63592936,63861626
European Union,EUU,Population,Urban population,SP.URB.TOTL,254563188,254563188,290265110,306519776,319897066,327796302,336414397,344342751,350394604,361452743,373226783,382403439,384606608,386430216
France,FRA,Population,Urban population,SP.URB.TOTL,29575887,29575887,36918571,39330005,40423470,41726184,43127028,44604027,46214923,48730233,50961407,53044946,53432321,53612472
United Kingdom,GBR,Population,Urban population,SP.URB.TOTL,41381472,41381472,42925829,43677888,44195960,44329755,44733264,45459651,46319551,48269624,51030310,53813373,54369540,54923317
Indonesia,IDN,Population,Urban population,SP.URB.TOTL,13353483,13353483,19596343,25243596,32591870,43042272,55483475,71046004,88840036,103961908,120709130,137751865,141210511,144652795
India,IND,Population,Urban population,SP.URB.TOTL,82882675,82882675,109705503,132920310,161444128,190975975,223096279,256470883,292322757,335503762,381763166,429428653,439498772,449789369
Italy,ITA,Population,Urban population,SP.URB.TOTL,30249038,30249038,34592379,36393136,37607540,37818886,37846480,38041344,38277624,39267369,40502481,42247229,42351339,42462869
Japan,JPN,Population,Urban population,SP.URB.TOTL,60965749,60965749,75000056,84756490,88958689,92632808,95542280,97862490,99760751,109856670,116302928,116182717,116145370,116053379
South Korea,KOR,Population,Urban population,SP.URB.TOTL,7351204,7351204,13123306,16946391,21623805,26473134,31656393,35280305,37428328,39195731,40602657,41645542,41797024,41946498
Mexico,MEX,Population,Urban population,SP.URB.TOTL,20102588,20102588,30392017,37409355,44952217,52390613,59951345,67251519,73899942,80890450,88781439,96615320,98145001,99655905
Russian Federation,RUS,Population,Urban population,SP.URB.TOTL,66226377,66226377,81464683,89145034,96960865,103466989,108837430,108866238,107528575,105433013,105261473,106703732,107050095,107349518
Saudi Arabia,SAU,Population,Urban population,SP.URB.TOTL,1365769,1365769,2840512,4329200,6382806,9530555,12432320,14663134,16499665,19286107,22508632,26382755,27057429,27678169
Turkey,TUR,Population,Urban population,SP.URB.TOTL,9025025,9025025,13334606,16333841,19252680,25769767,31923300,36333541,40942334,46065713,51225589,57806283,59175037,60537696
United States,USA,Population,Urban population,SP.URB.TOTL,129276215,129276215,150922373,159070594,167551171,177239105,187966119,205718394,223069137,236200507,249848865,261953748,264472662,266809225
South Africa,ZAF,Population,Urban population,SP.URB.TOTL,8200255,8200255,10551339,12121153,13828615,16134214,19149881,22576687,25582579,28506195,31866171,35905874,36724030,37534797
