CountryName,Indicator_Name,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,MEAN,Median,STDEV.P,Q25,Q50,Q75
EuropeanUnion,Forest_area_(sq._km),1479241.502,1485786.801,1492851.89,1499678.218,1506490.297,1513302.597,1520114.699,1526926.986,1533739.115,1540551.388,1547363.495,1551368.307,1555372.991,1559377.702,1563382.505,1567387.299,1572379.885,1577372.405,1582365.207,1587357.705,1592350.192,1596042.604,1599735.105,1545675.604,1551368.307,36238.61573,1513302.597,1551368.307,1577372.405
France,Forest_area_(sq._km),144360,145212.998,146065.9961,146919.0039,147772.002,148625,149477.998,150330.9961,151184.0039,152037.002,152890,154034.0039,155177.998,156322.002,157465.9961,158610,159735.9961,160862.002,161987.998,163114.0039,164240,165370,166500,154708.4783,154034.0039,6735.956099,148625,154034.0039,160862.002
UnitedKingdom,Forest_area_(sq._km),27780,27956.00098,28131.99951,28308.00049,28483.99902,28660,28836.00098,29011.99951,29188.00049,29363.99902,29540,29673.99902,29808.00049,29941.99951,30076.00098,30210,30286.00098,30361.99951,30438.00049,30513.99902,30590,30760,30930,29515.21739,29673.99902,942.0027802,28660,29673.99902,30361.99951
Indonesia,Forest_area_(sq._km),1185450,1166313.984,1147177.969,1128042.031,1108906.016,1089770,1070633.984,1051497.969,1032362.031,1013226.016,994090,990986.0156,987882.0313,984777.9688,981673.9844,978570,971720,964870,958020,951170,944320,937476.0156,930632.0313,1024763.828,990986.0156,76350.98899,964870,990986.0156,1089770
India,Forest_area_(sq._km),639390,640841.0156,642291.9922,643743.0078,645193.9844,646645,648096.0156,649546.9922,650998.0078,652448.9844,653900,658537.9688,663176.0156,667813.9844,672452.0313,677090,681252.0313,685413.9844,689576.0156,693737.9688,697900,699683.9844,701467.9688,665269.4328,658537.9688,20764.316,646645,658537.9688,685413.9844
Italy,Forest_area_(sq._km),75900,76678.99902,77457.99805,78237.00195,79016.00098,79795,80573.99902,81352.99805,82132.00195,82910.99609,83690,84470,85250,86030,86810,87590,88127.99805,88665.99609,89204.00391,89742.00195,90280,90817.99805,91355.99609,84177.78214,84470,4782.734655,79795,84470,88665.99609
Japan,Forest_area_(sq._km),249500,249425.9961,249351.9922,249278.0078,249204.0039,249130,249055.9961,248981.9922,248908.0078,248834.0039,248760,248878.0078,248995.9961,249114.0039,249231.9922,249350,249411.9922,249474.0039,249535.9961,249598.0078,249660,249644.0039,249628.0078,249258.7831,249278.0078,274.752594,248995.9961,249278.0078,249500
"Korea,Rep.",Forest_area_(sq._km),63700,63617.99805,63536.00098,63453.99902,63372.00195,63290,63207.99805,63126.00098,63043.99902,62962.00195,62880,62813.99902,62747.99805,62682.00195,62616.00098,62550,62483.99902,62417.99805,62352.00195,62286.00098,62220,62143.99902,62067.99805,62850.95639,62813.99902,486.6674835,62417.99805,62813.99902,63290
Mexico,Forest_area_(sq._km),697600,695696.0156,693792.0313,691887.9688,689983.9844,688080,686176.0156,684272.0313,682367.9688,680463.9844,678560,677013.9844,675467.9688,673922.0313,672376.0156,670830,669660,668490,667320,666150,664980,664063.9844,663147.9688,678360.9545,677013.9844,10671.57099,668490,677013.9844,688080
SaudiArabia,Forest_area_(sq._km),9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,9770,0,9770,9770,9770
Turkey,Forest_area_(sq._km),96220,96780.99609,97342.00195,97902.99805,98464.00391,99025,99585.99609,100147.002,100707.998,101269.0039,101830,102787.998,103745.9961,104704.0039,105662.002,106620,107702.002,108784.0039,109865.9961,110947.998,112030,113054.0039,114077.998,103880.7392,102787.998,5459.347161,99025,102787.998,108784.0039
UnitedStates,Forest_area_(sq._km),3024500,3025585.938,3026671.875,3027758.125,3028844.063,3029930,3031015.938,3032101.875,3033188.125,3034274.063,3035360,3037801.875,3040244.063,3042685.938,3045128.125,3047570,3055495.938,3063421.875,3071348.125,3079274.063,3087200,3089950,3092700,3047045.652,3037801.875,21882.24089,3029930,3037801.875,3063421.875
SouthAfrica,Forest_area_(sq._km),92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,92410,0,92410,92410,92410
Argentina,Population,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,37238421.91,37275652,2706861.236,34828170,37275652,39684295
Australia,Population,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,19569988.65,19413000,1663899.629,18072000,19413000,20827600
Brazil,Population,149003223,151648011,154259380,156849078,159432716,162019896,164614688,167209040,169785250,172318675,174790340,177196054,179537520,181809246,184006481,186127103,188167356,190130443,192030362,193886508,195713635,197514534,199287296,175971166.7,177196054,15357295.27,162019896,177196054,190130443
Canada,Population,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,31106521,31020902,2062755.713,29302311,31020902,32889025
